,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila de Zaragoza,Colima,Chiapas,Chihuahua,Ciudad de México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán de Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz de Ignacio de la Llave,Yucatán,Zacatecas
10-2011,1.4357,1.2481,1.1223,0.9282,1.2246,0.9736,0.994,1.5743,0.9918,1.2201,1.3756,1.148,1.0191,1.2936,0.9859,1.2329,0.9799,1.1134,1.3078,1.0401,1.2524,1.1398,1.0214,1.2468,1.2295,1.112,1.0445,1.2119,1.1108,0.9967,1.2055,1.2126
01-2012,1.4,1.2961,1.1448,0.8762,1.3403,0.9144,0.9891,1.5797,1.0422,1.2043,1.3905,1.1265,1.0534,1.2056,1.0098,1.2388,0.9137,1.1353,1.2789,1.0231,1.1432,1.0326,0.99,1.2283,1.0724,1.1044,0.9457,1.1438,1.127,0.9641,1.2094,1.2068
04-2012,1.3153,1.227,1.2169,0.8832,1.3156,0.8627,0.9908,1.4052,1.0541,1.2779,1.4047,1.0886,1.006,1.1869,0.9495,1.1712,0.9222,1.1386,1.229,1.0143,1.1901,1.0713,1.0276,1.2291,1.1918,1.1089,1.0323,1.1472,1.1396,0.8891,1.1409,1.1163
07-2012,1.4203,1.2346,1.2078,0.9068,1.201,0.9156,1.0021,1.448,1.0674,1.354,1.285,1.1995,1.0528,1.2895,1.0061,1.2871,1.0467,1.2363,1.4141,1.039,1.2549,1.1327,1.0199,1.2675,1.3405,1.153,1.0163,1.247,1.1747,1.0137,1.2052,1.1425
10-2012,1.4126,1.2265,1.238,0.9275,1.279,0.9757,1.0175,1.3923,1.0541,1.1951,1.3435,1.2097,1.0554,1.3725,1.0733,1.4645,1.012,1.2046,1.4409,1.0607,1.2535,1.2466,1.1069,1.2468,1.114,1.2173,1.0644,1.1821,1.1732,0.974,1.247,1.1842
01-2013,1.4125,1.1508,1.1357,0.8603,1.2549,0.9655,1.0044,1.4401,1.053,1.2925,1.3546,1.1191,1.0909,1.3183,1.0563,1.2445,1.0596,1.0861,1.438,1.0526,1.1979,1.1034,1.0262,1.256,1.1093,1.0948,1.0785,1.169,1.1278,0.9657,1.2107,1.2464
04-2013,1.3744,1.1007,1.2254,0.8669,1.1218,0.9959,1.0239,1.3519,1.1335,1.3303,1.4189,1.1534,1.0251,1.2812,1.0921,1.3584,0.9968,1.1519,1.271,1.0721,1.2994,1.1861,0.9614,1.2097,1.1687,0.993,1.0586,1.1574,1.1705,0.986,1.2589,1.1894
07-2013,1.3742,1.1777,1.2953,0.8756,1.1457,1.0638,1.009,1.3284,1.1438,1.3511,1.2828,1.1231,1.0504,1.3417,1.1158,1.495,1.0508,1.1953,1.4507,1.0756,1.275,1.1891,1.0121,1.2022,1.2575,1.1062,1.0293,1.214,1.1195,1.0434,1.1713,1.1649
10-2013,1.2793,1.1057,1.2303,0.8944,1.1742,0.9683,1.0352,1.3177,1.0836,1.3619,1.3011,1.1553,1.0477,1.3698,1.0751,1.515,1.0813,1.1162,1.4082,1.1548,1.2419,1.1749,1.0758,1.1723,1.1708,1.0979,1.0172,1.2123,1.16,1.0182,1.213,1.178
01-2014,1.3462,1.2544,1.368,0.9622,1.2643,0.9795,1.0247,1.4223,1.1237,1.3472,1.317,1.091,1.0469,1.3441,1.1005,1.4144,1.0885,1.0708,1.4537,1.0851,1.2706,1.109,1.0876,1.2193,1.1588,1.0173,0.9969,1.234,1.1716,1.0379,1.244,1.2234
04-2014,1.3672,1.2344,1.4246,0.9708,1.177,0.9562,1.0513,1.1795,1.1464,1.388,1.3115,1.0675,1.0368,1.3096,1.1078,1.44,1.0857,1.1674,1.4418,1.0924,1.2666,1.2006,1.0948,1.2132,1.3522,1.0779,0.9929,1.2217,1.2058,1.0274,1.2196,1.1814
07-2014,1.3561,1.3414,1.4428,0.9866,1.1473,0.9603,1.0546,1.2345,1.2121,1.3256,1.3333,1.168,1.0484,1.2717,1.1158,1.4991,1.1511,1.184,1.3793,1.0905,1.2811,1.2245,1.1174,1.2278,1.3512,1.1822,0.9218,1.3514,1.1636,1.0897,1.1969,1.226
10-2014,1.3897,1.4143,1.3712,1.0316,1.2276,1.1346,1.0757,1.3335,1.3154,1.3923,1.3855,1.135,1.0286,1.4174,1.1845,1.4782,1.1672,1.2244,1.4629,1.1378,1.3064,1.2775,1.2319,1.2263,1.2056,1.1615,0.9651,1.2773,1.1949,1.1916,1.2218,1.2685
